PC1,PC2
-7.3382943801656,0.3732944272282845
-2.7037131253224946,-0.9863463976665411
-4.30705862528327,-0.4047000054745307
-5.830735689848047,-1.3856685080054516
-2.3431972557647387,-0.20174770837556935
-6.681856433242166,-0.7741714988519061
-5.855967349062164,0.08214141149360348
-0.4486398267542851,0.2036169612145937
-0.5306493024058785,-1.3120217660561515
-0.3660751123072464,0.7356109601968835
-1.21717549512905,-1.5094490343171478
-1.6008716342406517,-1.8133949741978859
-1.6415972394929623,-0.1020630580853376
-1.7375134964775183,-0.8929280823132743
-0.42859422104352396,-1.5018545300389905
0.003501489540420019,-0.7447251710714168
-0.9933655860240295,-2.363615962643175
1.0272234650203806,-0.9116063216715583
-1.17962667136103,0.1761048069914252
-0.19866567139395608,-1.311092260535305
-0.3863549423239536,-2.497695057651433
0.5514704388531924,-0.5623170396389622
-0.6982483855200656,-0.025817076002138152
-1.2680500357664395,1.280141930611382
-1.6592709485129982,2.2546988387007065
-3.392939705754459,-1.8223921445276954
0.04688209919955404,-0.8639787533375771
2.2596133661953948,-1.2535601674421233
-0.5274894374050921,-1.3105820115650162
-5.964720351029454,2.5190185983379636
-5.6782086126925595,1.3990758121354205
-3.3220952147912044,1.2842483166344192
-0.8369789624208063,0.22048925327756985
-0.7231751953423446,-1.220283437974496
-1.0076146875765486,0.9127688981304315
-1.5893180266178526,-1.4356409302766813
-2.4976968195953155,-1.1966455055307432
-1.8644728864050615,-0.4612168837264894
-1.5481689582650393,-1.3816043605751362
-1.3079841305468247,-2.0375032343205444
-0.18016030650788925,-0.679310967934062
-1.086988347207259,-2.14652636811629
0.18898003231442767,-0.8616196418720193
-0.49957899937582184,0.7625780333860779
0.05717306330932416,-0.9382768389185595
-0.4802673670088917,-2.265402014188393
0.46036209926064225,-0.47721764085408125
-0.12719461611270805,0.2175449798803094
-2.250912195285836,1.2222309074573086
-1.767932982724297,1.6750601334162414
-2.954378801801411,-1.512842447766351
0.0835130918662865,-0.8907772229689197
0.4897546361026111,-1.086375047735764
-0.6370465610568312,-0.9374892422935894
-4.706099682119092,0.4997740359868077
-5.05728759787492,3.646529834752803
